   0.200004E-04   0.942914E+06   0.467285E+07   0.515839E+08   0.148013E+05
   0.400008E-04   0.117864E+06   0.584106E+06   0.322400E+07   0.185016E+04
   0.600012E-04   0.349228E+05   0.173069E+06   0.636839E+06   0.548195E+03
   0.800016E-04   0.147330E+05   0.730133E+05   0.201500E+06   0.231270E+03
   0.100002E-03   0.754331E+04   0.373828E+05   0.825343E+05   0.118410E+03
   0.120002E-03   0.436534E+04   0.216336E+05   0.398024E+05   0.685243E+02
   0.140003E-03   0.274902E+04   0.136235E+05   0.214844E+05   0.431523E+02
   0.160003E-03   0.184163E+04   0.912666E+04   0.125937E+05   0.289087E+02
   0.180004E-03   0.129344E+04   0.640994E+04   0.786221E+04   0.203035E+02
   0.200004E-03   0.942914E+03   0.467285E+04   0.515839E+04   0.148013E+02
   0.220004E-03   0.708426E+03   0.351078E+04   0.352325E+04   0.111204E+02
   0.240005E-03   0.545668E+03   0.270420E+04   0.248765E+04   0.856554E+01
   0.260005E-03   0.429183E+03   0.212692E+04   0.180610E+04   0.673703E+01
   0.280006E-03   0.343628E+03   0.170293E+04   0.134277E+04   0.539404E+01
   0.300006E-03   0.279382E+03   0.138455E+04   0.101894E+04   0.438556E+01
   0.320006E-03   0.230204E+03   0.114083E+04   0.787108E+03   0.361359E+01
   0.340007E-03   0.191922E+03   0.951119E+03   0.617616E+03   0.301267E+01
   0.360007E-03   0.161679E+03   0.801243E+03   0.491388E+03   0.253794E+01
   0.380008E-03   0.137471E+03   0.681273E+03   0.395822E+03   0.215793E+01
   0.400008E-03   0.117864E+03   0.584106E+03   0.322400E+03   0.185016E+01
   0.420008E-03   0.101816E+03   0.504573E+03   0.265239E+03   0.159823E+01
   0.440009E-03   0.885532E+02   0.438848E+03   0.220203E+03   0.139005E+01
   0.460009E-03   0.774977E+02   0.384059E+03   0.184333E+03   0.121651E+01
   0.480010E-03   0.682085E+02   0.338024E+03   0.155478E+03   0.107069E+01
   0.500010E-03   0.603465E+02   0.299062E+03   0.132055E+03   0.947280E+00
   0.520010E-03   0.536478E+02   0.265865E+03   0.112881E+03   0.842129E+00
   0.540011E-03   0.479050E+02   0.237405E+03   0.970643E+02   0.751982E+00
   0.560011E-03   0.429535E+02   0.212867E+03   0.839233E+02   0.674255E+00
   0.580012E-03   0.386615E+02   0.191597E+03   0.729327E+02   0.606882E+00
   0.600012E-03   0.349228E+02   0.173069E+03   0.636839E+02   0.548195E+00
   0.620012E-03   0.316510E+02   0.156854E+03   0.558557E+02   0.496836E+00
   0.640013E-03   0.287755E+02   0.142604E+03   0.491943E+02   0.451698E+00
   0.660013E-03   0.262380E+02   0.130029E+03   0.434969E+02   0.411867E+00
   0.680014E-03   0.239903E+02   0.118890E+03   0.386010E+02   0.376584E+00
   0.700014E-03   0.219922E+02   0.108988E+03   0.343750E+02   0.345219E+00
   0.720014E-03   0.202099E+02   0.100155E+03   0.307117E+02   0.317242E+00
